neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price_log
1,13,40.69546,-73.93503,1,2,11,0.48,1,0,4.394449154672439
3,125,40.717220000000005,-73.87856,0,30,33,0.31,5,240,4.59511985013459
3,166,40.70234,-73.89816,1,7,6,0.06,5,365,4.948759890378168
3,125,40.71546,-73.87854,0,7,38,0.38,5,365,5.583496308781699
1,214,40.7195,-73.95976,0,2,358,3.44,2,164,5.521460917862246
2,95,40.76548,-73.98474,2,6,10,0.09,1,363,4.663439094112067
2,94,40.80234,-73.95603,1,30,0,1.3732214298586618,1,365,5.303304908059076
1,158,40.6787,-73.97261999999999,1,2,226,2.12,3,250,4.61512051684126
2,94,40.81035,-73.94598,0,1,104,1.0,5,247,4.804021044733257
0,96,40.83075,-73.93058,1,1,138,1.45,3,323,3.828641396489095
2,61,40.79958,-73.94275,1,5,204,1.92,1,192,4.61512051684126
1,214,40.71625,-73.93845,0,2,253,3.04,1,125,4.948759890378168
1,13,40.6829,-73.93549,1,2,23,0.22,1,91,4.276666119016055
2,144,40.72773,-73.99134000000001,1,2,115,1.17,1,75,4.875197323201151
2,209,40.728609999999996,-74.0049,0,5,129,1.22,1,286,5.298317366548036
1,214,40.709790000000005,-73.95161999999999,1,4,82,1.13,2,60,4.248495242049359
1,80,40.68656,-73.97525,1,3,37,0.35,1,0,4.23410650459726
2,64,40.72752,-73.98432,0,1,204,2.04,1,192,4.875197323201151
1,91,40.729,-73.95829,0,2,69,0.65,1,58,5.278114659230517
2,94,40.81219,-73.94499,1,1,192,1.84,5,245,4.174387269895637
3,54,40.77185,-73.90502,0,2,17,0.16,1,292,4.948759890378168
1,43,40.68926,-73.99386,0,2,222,2.12,1,279,5.075173815233827
2,64,40.72821,-73.98701,0,3,205,1.96,1,0,5.247024072160486
2,95,40.7672,-73.98508000000001,0,3,94,0.96,1,3,5.5254529391317835
2,64,40.73012,-73.99053,0,3,7,0.07,1,351,5.480638923341991
2,75,40.7403,-73.98498000000001,0,2,108,1.09,1,201,5.723585101952381
2,94,40.809309999999996,-73.94343,0,3,222,2.1,2,232,5.049856007249537
2,94,40.8251,-73.94287,1,1,458,4.58,2,258,4.110873864173311
1,216,40.6585,-73.98397,1,2,21,0.26,1,272,4.912654885736052
2,169,40.76193,-73.9501,1,7,17,0.3,1,341,4.795790545596741
2,119,40.72052,-73.98589,0,3,41,0.39,1,244,5.017279836814924
3,166,40.70411,-73.89934000000001,0,14,1,0.01,5,365,4.948759890378168
1,91,40.73401,-73.95966999999999,0,2,69,0.67,1,12,4.912654885736052
2,35,40.71756,-73.99503,0,4,18,0.18,2,265,5.5254529391317835
2,127,40.7589,-73.96991,0,30,82,0.78,1,0,5.5254529391317835
2,178,40.72003,-74.00262,0,4,94,0.99,1,329,6.2166061010848646
2,92,40.73194,-73.99474000000001,0,5,10,0.1,1,91,5.420534999272286
2,61,40.79163,-73.94573000000001,0,28,183,1.83,2,365,4.836281906951478
2,94,40.8118,-73.94434,1,1,189,1.82,5,253,4.532599493153256
2,94,40.81583,-73.94707,1,2,1,0.11,1,365,5.170483995038151
2,64,40.72654,-73.98049,0,2,127,1.22,1,320,4.605170185988092
2,202,40.80021,-73.96070999999999,0,4,4,0.04,1,0,5.278114659230517
2,61,40.80942,-73.93936,0,3,135,1.3,3,192,4.948759890378168
2,115,40.719609999999996,-73.9954,0,2,21,0.2,1,0,4.912654885736052
2,34,40.74358,-74.00027,0,2,35,0.34,1,348,6.2166061010848646
2,94,40.80335,-73.9575,1,14,10,2.21,2,0,4.394449154672439
2,35,40.71445,-73.9908,1,4,171,1.8,2,353,4.795790545596741
1,60,40.644459999999995,-73.9503,0,3,238,2.3,1,2,4.189654742026425
1,28,40.688,-73.9171,0,3,111,2.13,1,68,4.605170185988092
4,194,40.63536,-74.08537,1,2,193,1.85,6,360,3.6109179126442243
4,194,40.63627,-74.08543,1,2,147,1.44,6,0,3.6375861597263857
4,194,40.63518,-74.08546,1,2,177,1.71,6,320,3.6375861597263857
2,64,40.72477,-73.98161,0,3,185,1.78,2,326,5.170483995038151
2,34,40.74238,-73.99566999999999,0,9,62,0.7,2,76,5.327876168789581
1,91,40.72945,-73.95510999999999,0,3,124,1.22,3,279,5.655991810819852
1,214,40.70763,-73.95177,1,2,181,1.77,2,15,4.0943445622221
4,194,40.634809999999995,-74.08519,1,2,333,3.19,6,340,3.6109179126442243
3,4,40.753840000000004,-73.91433,0,5,441,4.5,1,226,4.605170185988092
1,108,40.641059999999996,-73.97426,1,1,45,0.46,2,365,3.6888794541139363
1,151,40.66793,-73.98326999999999,1,14,9,0.09,2,0,4.110873864173311
0,39,40.81309,-73.85514,1,2,0,1.3732214298586618,7,349,4.51085950651685
0,65,40.88057,-73.83572,0,2,38,0.5,13,365,4.663439094112067
1,13,40.682359999999996,-73.94314,0,2,248,2.39,2,11,4.912654885736052
2,64,40.72185,-73.98246,0,5,143,1.38,2,316,5.968707559985366
1,13,40.68503,-73.95385,1,3,36,0.41,4,281,4.2626798770413155
2,103,40.866479999999996,-73.9263,1,7,0,1.3732214298586618,2,323,4.330733340286331
1,214,40.7069,-73.95467,1,17,14,0.14,4,362,4.110873864173311
2,64,40.72807,-73.98594,0,3,0,1.3732214298586618,1,0,5.303304908059076
1,51,40.6778,-73.94339000000001,1,3,279,2.69,1,301,4.61512051684126
1,13,40.683170000000004,-73.94700999999999,1,4,18,0.22,4,189,4.2626798770413155
1,51,40.6761,-73.9529,1,6,50,3.55,1,0,4.709530201312334
1,51,40.67586,-73.95155,1,2,227,2.27,2,287,4.110873864173311
2,115,40.71702,-73.99811,0,14,1,0.16,1,14,4.51085950651685
2,64,40.723209999999995,-73.98156999999999,1,2,203,1.96,2,86,4.23410650459726
2,202,40.77956,-73.98098,0,2,210,2.1,1,261,4.7535901911063645
1,13,40.682759999999995,-73.95264,1,5,64,0.67,1,68,4.330733340286331
1,214,40.71368,-73.9626,1,3,0,1.3732214298586618,1,0,4.110873864173311
2,64,40.72956,-73.98158000000001,0,7,5,0.15,1,231,4.867534450455582
1,214,40.71069,-73.95175,0,10,49,0.48,1,152,4.875197323201151
1,214,40.70863,-73.94641,0,4,132,1.27,1,46,4.564348191467836
2,94,40.82888,-73.94306999999999,1,3,20,0.26,1,364,4.330733340286331
1,151,40.673190000000005,-73.97323,0,2,11,0.11,1,246,5.170483995038151
1,31,40.67846,-73.99443000000001,0,3,51,0.57,1,288,5.25227342804663
1,51,40.6715,-73.94808,1,21,15,0.15,5,331,3.912023005428146
